rule,name,category,accuracy,severity,fixability,applicability,configuration,conflicts,total,ecosystem
A001,builtin-variable-shadowing,suspicious,1,2,0,2,1,2,10.0,2635
A002,builtin-argument-shadowing,suspicious,2,2,0,2,1,2,11.0,4926
A003,builtin-attribute-shadowing,suspicious,1,2,0,2,1,2,10.0,0
A004,builtin-import-shadowing,suspicious,2,2,0,2,1,2,11.0,247
A005,stdlib-module-shadowing,suspicious,2,2,0,2,1,2,11.0,0
A006,builtin-lambda-argument-shadowing,suspicious,2,2,0,2,1,2,11.0,15
ARG001,unused-function-argument,suspicious,2,2,0,2,1,2,11.0,11308
ARG002,unused-method-argument,suspicious,2,2,0,2,1,2,11.0,13968
ARG003,unused-class-method-argument,suspicious,2,2,0,2,1,2,11.0,861
ARG004,unused-static-method-argument,suspicious,2,2,0,2,1,2,11.0,298
ARG005,unused-lambda-argument,suspicious,2,2,0,2,1,2,11.0,1727
B002,unary-prefix-increment-decrement,correctness,2,2,0,2,2,2,12.0,0
B003,assignment-to-os-environ,suspicious,2,2,0,2,2,2,12.0,2
B004,unreliable-callable-check,correctness,2,2,2,2,2,2,13.0,8
B005,strip-with-multi-characters,suspicious,2,2,0,2,2,2,12.0,18
B012,jump-statement-in-finally,suspicious,2,2,0,2,2,2,12.0,3
B015,useless-comparison,correctness,2,2,0,2,2,2,12.0,278
B016,raise-literal,correctness,2,2,0,2,2,2,12.0,0
B017,assert-raises-exception,suspicious,2,2,0,2,2,2,12.0,37
B019,cached-instance-method,correctness,2,2,0,2,2,2,12.0,23
B020,loop-variable-overrides-iterator,suspicious,2,2,0,2,2,2,12.0,25
B021,f-string-docstring,correctness,2,2,0,2,2,2,12.0,1
B022,useless-contextlib-suppress,correctness,2,2,0,2,2,2,12.0,0
B025,duplicate-try-block-exception,correctness,2,2,0,2,2,2,12.0,0
B029,except-with-empty-tuple,correctness,2,2,0,2,2,2,12.0,0
B030,except-with-non-exception-classes,correctness,2,2,0,2,2,2,12.0,2
B031,reuse-of-groupby-generator,correctness,2,2,0,2,2,2,12.0,0
B032,unintentional-type-annotation,correctness,2,2,0,2,2,2,12.0,0
B035,static-key-dict-comprehension,correctness,2,2,0,2,2,2,12.0,1
D419,empty-docstring,correctness,2,0,0,2,1,2,7.0,227
E401,multiple-imports-on-one-line,style,2,1,2,2,2,2,11.0,126
E402,module-import-not-at-top-of-file,style,2,1,0,2,2,2,10.0,4190
E701,multiple-statements-on-one-line-colon,style,2,1,0,2,2,1,9.0,914
E702,multiple-statements-on-one-line-semicolon,style,2,1,0,2,2,1,9.0,395
E703,useless-semicolon,style,2,1,2,2,2,1,10.0,15
E711,none-comparison,style,2,1,2,2,2,2,11.0,32
E712,true-false-comparison,style,2,1,2,2,2,2,11.0,81
E713,not-in-test,style,2,1,2,2,2,2,11.0,19
E714,not-is-test,style,2,1,2,2,2,2,11.0,1
E721,type-comparison,suspicious,2,1,0,2,2,2,10.0,307
E722,bare-except,suspicious,2,2,0,2,2,2,12.0,269
E731,lambda-assignment,style,2,1,1,2,2,2,10.5,475
E741,ambiguous-variable-name,style,2,1,0,2,2,2,10.0,173
E742,ambiguous-class-name,style,2,1,0,2,2,2,10.0,0
E743,ambiguous-function-name,style,2,1,0,2,2,2,10.0,0
E902,io-error,correctness,2,2,0,2,2,2,12.0,4
F401,unused-import,correctness,2,2,2,2,1,2,12.0,2882
F402,import-shadowed-by-loop-var,suspicious,2,2,0,2,2,2,12.0,1
F403,undefined-local-with-import-star,style,2,2,0,2,2,2,12.0,1122
F404,late-future-import,correctness,2,2,0,2,2,2,12.0,5
F405,undefined-local-with-import-star-usage,style,2,2,0,2,2,2,12.0,3253
F406,undefined-local-with-nested-import-star-usage,style,2,2,0,2,2,2,12.0,0
F407,future-feature-not-defined,correctness,2,2,0,2,2,2,12.0,0
F501,percent-format-invalid-format,correctness,2,2,0,2,2,2,12.0,0
F502,percent-format-expected-mapping,correctness,2,2,0,2,2,2,12.0,0
F503,percent-format-expected-sequence,correctness,2,2,0,2,2,2,12.0,0
F504,percent-format-extra-named-arguments,correctness,2,2,2,2,2,2,13.0,0
F505,percent-format-missing-argument,correctness,2,2,0,2,2,2,12.0,0
F506,percent-format-mixed-positional-and-named,correctness,2,2,0,2,2,2,12.0,0
F507,percent-format-positional-count-mismatch,correctness,2,2,0,2,2,2,12.0,0
F508,percent-format-star-requires-sequence,correctness,2,2,0,2,2,2,12.0,0
F509,percent-format-unsupported-format-character,correctness,2,2,0,2,2,2,12.0,0
F521,string-dot-format-invalid-format,correctness,2,2,0,2,2,2,12.0,0
F522,string-dot-format-extra-named-arguments,correctness,2,2,2,2,2,2,13.0,0
F523,string-dot-format-extra-positional-arguments,correctness,2,2,2,2,2,2,13.0,0
F524,string-dot-format-missing-arguments,correctness,2,2,0,2,2,2,12.0,0
F525,string-dot-format-mixing-automatic,correctness,2,2,0,2,2,2,12.0,0
F541,f-string-missing-placeholders,suspicious,2,1,2,2,2,2,11.0,746
F601,multi-value-repeated-key-literal,correctness,2,2,2,2,2,2,13.0,2
F602,multi-value-repeated-key-variable,correctness,2,2,2,2,2,2,13.0,0
F621,expressions-in-star-assignment,correctness,2,2,0,2,2,2,12.0,0
F622,multiple-starred-expressions,correctness,2,2,0,2,2,2,12.0,0
F631,assert-tuple,correctness,2,2,0,2,2,2,12.0,0
F632,is-literal,suspicious,2,2,2,2,2,2,13.0,2
F633,invalid-print-syntax,correctness,2,2,0,2,2,2,12.0,0
F634,if-tuple,correctness,2,2,0,2,2,2,12.0,0
F701,break-outside-loop,correctness,2,2,0,2,2,2,12.0,0
F702,continue-outside-loop,correctness,2,2,0,2,2,2,12.0,1
F704,yield-outside-function,correctness,2,2,0,2,2,2,12.0,0
F706,return-outside-function,correctness,2,2,0,2,2,2,12.0,1
F707,default-except-not-last,correctness,2,2,0,2,2,2,12.0,0
